platform,country,city,zone,zone_tier,lat,lng,scraped_at,store_id,store_name,store_address,delivery_fee,service_fee_pct,eta_text,eta_minutes,is_available,rating,product_label,product_name,product_id,price,real_price,discount_pct,is_product_available,corridor
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-05-11T17:55:28,1306705689,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",20.0,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 279, 'score_info': {'1': 49, '2': 17, '3': 19, '4': 22, '5': 172}, 'style': 'LOW'}",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,1306705689_7390141,208.0,208.0,0.0,False,Mc para Todos
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-05-11T17:55:28,1306705689,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",20.0,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 279, 'score_info': {'1': 49, '2': 17, '3': 19, '4': 22, '5': 172}, 'style': 'LOW'}",mcnuggets_10,McTrio mediano McNuggets 10 pzas,1306705689_7389920,159.0,159.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-05-11T17:55:28,1306705689,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",20.0,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 279, 'score_info': {'1': 49, '2': 17, '3': 19, '4': 22, '5': 172}, 'style': 'LOW'}",mctrio_big_mac,McTrío mediano Big Mac,1306705689_7390221,149.0,149.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-05-11T17:55:28,1306705689,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",20.0,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 279, 'score_info': {'1': 49, '2': 17, '3': 19, '4': 22, '5': 172}, 'style': 'LOW'}",big_mac,Big Mac,1306705689_7390189,125.0,125.0,0.0,False,A La Carta Comida
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-05-11T17:55:28,1306705689,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",20.0,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 279, 'score_info': {'1': 49, '2': 17, '3': 19, '4': 22, '5': 172}, 'style': 'LOW'}",coca_cola,Coca-Cola Zero mediana,1306705689_7389936,55.0,55.0,0.0,False,Bebidas
rappi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-05-11T17:55:28,1306705689,Mc Donald´s  - Plaza Galerías,"Galerías Plaza de las Estrellas, Circuito Interior Melchor Ocampo, Verónica Anzúres, Ciudad de México, CDMX",20.0,0.0,12 min,32,True,"{'score': 3.9, 'total_reviews': 279, 'score_info': {'1': 49, '2': 17, '3': 19, '4': 22, '5': 172}, 'style': 'LOW'}",coca_cola,Coca-Cola mediana,1306705689_7390198,55.0,55.0,0.0,False,Bebidas
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-05-11T17:55:28,1306705699,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,9.9,0.0,12 min,32,True,"{'score': 4.0, 'total_reviews': 286, 'score_info': {'1': 46, '2': 10, '3': 24, '4': 26, '5': 180}, 'style': 'LOW'}",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,1306705699_14541796,208.0,208.0,0.0,False,Mc para Todos
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-05-11T17:55:28,1306705699,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,9.9,0.0,12 min,32,True,"{'score': 4.0, 'total_reviews': 286, 'score_info': {'1': 46, '2': 10, '3': 24, '4': 26, '5': 180}, 'style': 'LOW'}",mcnuggets_10,McTrio mediano McNuggets 10 pzas,1306705699_14542114,159.0,159.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-05-11T17:55:28,1306705699,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,9.9,0.0,12 min,32,True,"{'score': 4.0, 'total_reviews': 286, 'score_info': {'1': 46, '2': 10, '3': 24, '4': 26, '5': 180}, 'style': 'LOW'}",mctrio_big_mac,McTrío mediano Big Mac,1306705699_14542256,149.0,149.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-05-11T17:55:28,1306705699,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,9.9,0.0,12 min,32,True,"{'score': 4.0, 'total_reviews': 286, 'score_info': {'1': 46, '2': 10, '3': 24, '4': 26, '5': 180}, 'style': 'LOW'}",big_mac,Big Mac,1306705699_14542754,125.0,125.0,0.0,False,A La Carta Comida
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-05-11T17:55:28,1306705699,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,9.9,0.0,12 min,32,True,"{'score': 4.0, 'total_reviews': 286, 'score_info': {'1': 46, '2': 10, '3': 24, '4': 26, '5': 180}, 'style': 'LOW'}",coca_cola,Coca-Cola Zero mediana,1306705699_14542823,55.0,55.0,0.0,False,Bebidas
rappi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-05-11T17:55:28,1306705699,Mc Donald's - Samara,Antonio Dovali Jaime No. 70 Col. Lomas de Santa Fe C.P 01219,9.9,0.0,12 min,32,True,"{'score': 4.0, 'total_reviews': 286, 'score_info': {'1': 46, '2': 10, '3': 24, '4': 26, '5': 180}, 'style': 'LOW'}",coca_cola,Coca-Cola mediana,1306705699_14542824,55.0,55.0,0.0,False,Bebidas
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-05-11T17:55:28,1306703472,McDonald's  - Sears Insurgentes,"San Luis Potosí 214, Roma Nte., 06700 Ciudad de México, CDMX",9.9,0.0,12 min,32,True,"{'score': 3.8, 'total_reviews': 439, 'score_info': {'1': 94, '2': 14, '3': 30, '4': 35, '5': 266}, 'style': 'LOW'}",mctrio_big_mac,McTrío Big Mac mediano+McFlurry Oreo,1306703472_8119532,218.0,218.0,0.0,False,Mc para Todos
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-05-11T17:55:28,1306703472,McDonald's  - Sears Insurgentes,"San Luis Potosí 214, Roma Nte., 06700 Ciudad de México, CDMX",9.9,0.0,12 min,32,True,"{'score': 3.8, 'total_reviews': 439, 'score_info': {'1': 94, '2': 14, '3': 30, '4': 35, '5': 266}, 'style': 'LOW'}",mcnuggets_10,McTrio mediano McNuggets 10 pzas,1306703472_8119573,159.0,159.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-05-11T17:55:28,1306703472,McDonald's  - Sears Insurgentes,"San Luis Potosí 214, Roma Nte., 06700 Ciudad de México, CDMX",9.9,0.0,12 min,32,True,"{'score': 3.8, 'total_reviews': 439, 'score_info': {'1': 94, '2': 14, '3': 30, '4': 35, '5': 266}, 'style': 'LOW'}",mctrio_big_mac,McTrío mediano Big Mac,1306703472_8119545,149.0,149.0,0.0,False,McTrios Comida
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-05-11T17:55:28,1306703472,McDonald's  - Sears Insurgentes,"San Luis Potosí 214, Roma Nte., 06700 Ciudad de México, CDMX",9.9,0.0,12 min,32,True,"{'score': 3.8, 'total_reviews': 439, 'score_info': {'1': 94, '2': 14, '3': 30, '4': 35, '5': 266}, 'style': 'LOW'}",big_mac,Big Mac,1306703472_8119524,125.0,125.0,0.0,False,A La Carta Comida
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-05-11T17:55:28,1306703472,McDonald's  - Sears Insurgentes,"San Luis Potosí 214, Roma Nte., 06700 Ciudad de México, CDMX",9.9,0.0,12 min,32,True,"{'score': 3.8, 'total_reviews': 439, 'score_info': {'1': 94, '2': 14, '3': 30, '4': 35, '5': 266}, 'style': 'LOW'}",coca_cola,Coca-Cola Zero mediana,1306703472_8119538,55.0,55.0,0.0,False,Bebidas
rappi,MX,CDMX,Roma Norte,mid-high,19.4196,-99.1607,2026-05-11T17:55:28,1306703472,McDonald's  - Sears Insurgentes,"San Luis Potosí 214, Roma Nte., 06700 Ciudad de México, CDMX",9.9,0.0,12 min,32,True,"{'score': 3.8, 'total_reviews': 439, 'score_info': {'1': 94, '2': 14, '3': 30, '4': 35, '5': 266}, 'style': 'LOW'}",coca_cola,Coca-Cola mediana,1306703472_8119546,55.0,55.0,0.0,False,Bebidas
